Level	Date and Time	Source	Event ID	Task Category
Information	06-08-2019 03:07:16	Service Control Manager	7040	None	The start type of the Windows Modules Installer service was changed from demand start to auto start.
Warning	06-08-2019 03:05:48	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Warning	06-08-2019 03:04:13	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Information	06-08-2019 03:04:10	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9WZDNCRDTBVB-MICROSOFT.WINDOWSMAPS
Warning	06-08-2019 03:04:08	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Information	06-08-2019 03:04:00	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsMaps_5.1906.1972.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Warning	06-08-2019 03:04:00	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Information	06-08-2019 03:03:32	Service Control Manager	7045	None	"A service was installed in the system.

Service Name:  Nal Service 
Service File Name:  C:\WINDOWS\system32\Drivers\iqvw64e.sys
Service Type:  kernel mode driver
Service Start Type:  demand start
Service Account:  "
Information	06-08-2019 03:03:22	Service Control Manager	7045	None	"A service was installed in the system.

Service Name:  PCDSRVC{A1EF77D3-5C5D2C9F-06020300}_0 - PCDR Kernel Mode Service Helper Driver
Service File Name:  c:\program files\dell\supportassistagent\pcdr\supportassist\6.0.7033.2285\pcdsrvc_x64.pkms
Service Type:  kernel mode driver
Service Start Type:  demand start
Service Account:  "
Information	06-08-2019 03:02:34	Microsoft-Windows-HttpEvent	15007	None	Reservation for namespace identified by URL prefix http://127.0.0.1:8884:127.0.0.1/ was successfully added.
Information	06-08-2019 03:02:34	Microsoft-Windows-HttpEvent	15008	None	Reservation for namespace identified by URL prefix http://127.0.0.1:8884:127.0.0.1/ was successfully deleted.
Information	06-08-2019 03:02:32	Microsoft-Windows-Winlogon	7002	(1102)	User Logoff Notification for Customer Experience Improvement Program
Warning	06-08-2019 03:02:22	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Information	06-08-2019 03:01:48	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	06-08-2019 03:01:22	Service Control Manager	7040	None	The start type of the Windows Modules Installer service was changed from auto start to demand start.
Information	06-08-2019 03:01:18	Service Control Manager	7040	None	The start type of the Windows Modules Installer service was changed from demand start to auto start.
Information	06-08-2019 03:01:14	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	06-08-2019 02:59:49	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\defaultuser1\AppData\Local\Packages\Microsoft.LockApp_cw5n1h2txyewy\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages.
Information	06-08-2019 02:59:27	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\defaultuser1\AppData\Local\Packages\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages.
Information	06-08-2019 02:59:27	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\defaultuser1\AppData\Local\Packages\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages.
Information	06-08-2019 02:57:54	Service Control Manager	7045	None	"A service was installed in the system.

Service Name:  DBUtil_2_3
Service File Name:  C:\WINDOWS\TEMP\DBUtil_2_3.Sys
Service Type:  kernel mode driver
Service Start Type:  demand start
Service Account:  "
Error	06-08-2019 02:57:05	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 and APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error	06-08-2019 02:57:02	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error	06-08-2019 02:57:02	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information	06-08-2019 02:56:57	Microsoft-Windows-GroupPolicy	1501	None	The Group Policy settings for the user were processed successfully. There were no changes detected since the last successful processing of Group Policy.
Information	06-08-2019 02:56:35	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\defaultuser1\ntuser.dat was cleared updating 602 keys and creating 40 modified pages.
Information	06-08-2019 02:56:16	Microsoft-Windows-Winlogon	7001	(1101)	User Logon Notification for Customer Experience Improvement Program
Error	06-08-2019 02:55:49	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{8BC3F05E-D86B-11D0-A075-00C04FB68820}
 and APPID 
{8BC3F05E-D86B-11D0-A075-00C04FB68820}
 to the user DESKTOP-HNCA8IM\karthikeyaram SID (S-1-5-21-2479648021-1448410262-2704196919-1001) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ContentDeliveryManager_10.0.17134.1_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-350187224-1905355452-1037786396-3028148496-2624191407-3283318427-1255436723). This security permission can be modified using the Component Services administrative tool."
Warning	06-08-2019 02:54:59	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Information	06-08-2019 02:54:52	Microsoft-Windows-Power-Troubleshooter	1	None	"The system has returned from a low power state.

Sleep Time: ‎2019‎-‎08‎-‎05T20:16:53.972118200Z
Wake Time: ‎2019‎-‎08‎-‎05T21:24:49.924117700Z

Wake Source: Unknown"
Information	06-08-2019 02:54:50	Microsoft-Windows-Kernel-General	1	(5)	"The system time has changed to ‎2019‎-‎08‎-‎05T21:24:50.101243400Z from ‎2019‎-‎08‎-‎05T21:24:50.095954600Z.

Change Reason: An application or system component changed the time."
Warning	06-08-2019 02:54:50	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Warning	06-08-2019 02:54:50	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Warning	06-08-2019 02:54:50	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Error	06-08-2019 02:54:49	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Information	06-08-2019 02:54:49	Microsoft-Windows-Kernel-Boot	27	(33)	The boot type was 0x2.
Information	06-08-2019 02:54:49	Microsoft-Windows-Kernel-Boot	25	(32)	The boot menu policy was 0xF0020.
Information	06-08-2019 02:54:49	Microsoft-Windows-Kernel-Boot	32	(58)	The bootmgr spent 0 ms waiting for user input.
Information	06-08-2019 02:54:49	Microsoft-Windows-Kernel-Boot	18	(57)	There are 0x1 boot options on this system.
Information	06-08-2019 02:54:49	Microsoft-Windows-Kernel-Boot	30	(21)	The firmware reported boot metrics.
Information	06-08-2019 02:54:49	BTHUSB	18	None	Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Warning	06-08-2019 02:54:48	rt640x64	1	None	Realtek PCIe FE Family Controller is disconnected from network.
Information	06-08-2019 02:54:47	Microsoft-Windows-Kernel-General	1	(5)	"The system time has changed to ‎2019‎-‎08‎-‎05T21:24:47.500000000Z from ‎2019‎-‎08‎-‎05T20:17:03.981959100Z.

Change Reason: System time synchronized with the hardware clock."
Information	06-08-2019 01:47:03	Microsoft-Windows-Kernel-Power	107	(102)	The system has resumed from sleep.
Information	06-08-2019 01:46:59	Microsoft-Windows-Kernel-Power	42	(64)	"The system is entering sleep.

Sleep Reason: Hibernate from Sleep - Fixed Timeout"
Information	06-08-2019 01:46:54	Microsoft-Windows-Power-Troubleshooter	1	None	"The system has returned from a low power state.

Sleep Time: ‎2019‎-‎08‎-‎05T20:16:53.972118200Z
Wake Time: ‎2019‎-‎08‎-‎05T20:16:53.972118200Z

Wake Source: S4 Doze to Hibernate"
Error	06-08-2019 01:46:53	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Information	06-08-2019 01:46:53	BTHUSB	18	None	Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Warning	06-08-2019 01:46:52	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Warning	06-08-2019 01:46:51	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Warning	06-08-2019 01:46:51	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Warning	06-08-2019 01:46:51	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Warning	06-08-2019 01:46:50	rt640x64	1	None	Realtek PCIe FE Family Controller is disconnected from network.
Information	06-08-2019 01:46:49	Microsoft-Windows-Kernel-Power	131	(33)	Firmware S3 times. ResumeCount: 1, FullResume: 1, AverageResume: 1
Information	06-08-2019 01:46:49	Microsoft-Windows-Kernel-General	1	(5)	"The system time has changed to ‎2019‎-‎08‎-‎05T20:16:49.500000000Z from ‎2019‎-‎08‎-‎05T17:16:50.547536400Z.

Change Reason: System time synchronized with the hardware clock."
Information	05-08-2019 22:46:50	Microsoft-Windows-Kernel-Power	107	(102)	The system has resumed from sleep.
Information	05-08-2019 22:46:48	Microsoft-Windows-Kernel-Power	42	(64)	"The system is entering sleep.

Sleep Reason: Button or Lid"
Information	05-08-2019 22:46:44	Microsoft-Windows-Time-Service	35	None	The time service is now synchronizing the system time with the time source time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->52.163.118.68:123) with reference id 1148625716. Current local stratum number is 3.
Information	05-08-2019 22:46:39	Microsoft-Windows-Time-Service	37	None	The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->52.163.118.68:123).
Information	05-08-2019 22:46:36	Microsoft-Windows-Ntfs	98	None	Volume E: (\Device\HarddiskVolume6) is healthy.  No action is needed.
Warning	05-08-2019 22:46:34	Microsoft-Windows-Time-Service	134	None	NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on 'time.windows.com,0x9'. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: No such host is known. (0x80072AF9)
Error	05-08-2019 22:46:25	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error	05-08-2019 22:46:25	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning	05-08-2019 22:46:25	Microsoft-Windows-Time-Service	134	None	NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on 'time.windows.com,0x9'. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: No such host is known. (0x80072AF9)
Error	05-08-2019 22:46:25	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 and APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning	05-08-2019 22:46:24	Microsoft-Windows-Time-Service	134	None	NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on 'time.windows.com,0x9'. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: No such host is known. (0x80072AF9)
Error	05-08-2019 22:46:24	Tcpip	4199	None	The system detected an address conflict for IP address 192.168.1.3 with the system having network hardware address 18-D7-17-1F-72-25. Network operations on this system may be disrupted as a result.
Information	05-08-2019 22:46:24	Microsoft-Windows-Ntfs	98	None	Volume D: (\Device\HarddiskVolume5) is healthy.  No action is needed.
Warning	05-08-2019 22:46:19	Microsoft-Windows-Time-Service	134	None	NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on 'time.windows.com,0x9'. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: No such host is known. (0x80072AF9)
Information	05-08-2019 22:46:18	Microsoft-Windows-Winlogon	7001	(1101)	User Logon Notification for Customer Experience Improvement Program
Information	05-08-2019 22:46:14	Microsoft-Windows-Power-Troubleshooter	1	None	"The system has returned from a low power state.

Sleep Time: ‎2019‎-‎08‎-‎04T07:36:50.829296000Z
Wake Time: ‎2019‎-‎08‎-‎05T17:16:09.918372400Z

Wake Source: Unknown"
Warning	05-08-2019 22:46:12	Microsoft-Windows-Time-Service	134	None	NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on 'time.windows.com,0x9'. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: No such host is known. (0x80072AF9)
Error	05-08-2019 22:46:10	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Information	05-08-2019 22:46:10	BTHUSB	18	None	Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Warning	05-08-2019 22:46:10	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Warning	05-08-2019 22:46:10	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Warning	05-08-2019 22:46:10	Microsoft-Windows-Time-Service	134	None	NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on 'time.windows.com,0x9'. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: No such host is known. (0x80072AF9)
Information	05-08-2019 22:46:09	Microsoft-Windows-Kernel-Boot	27	(33)	The boot type was 0x1.
Information	05-08-2019 22:46:09	Microsoft-Windows-Kernel-Boot	25	(32)	The boot menu policy was 0x1.
Information	05-08-2019 22:46:09	Microsoft-Windows-Kernel-Boot	32	(58)	The bootmgr spent 0 ms waiting for user input.
Information	05-08-2019 22:46:09	Microsoft-Windows-Kernel-Boot	18	(57)	There are 0x1 boot options on this system.
Information	05-08-2019 22:46:09	Microsoft-Windows-Kernel-Boot	30	(21)	The firmware reported boot metrics.
Information	05-08-2019 22:46:09	EventLog	6013	None	The system uptime is 201647 seconds.
Warning	05-08-2019 22:46:09	rt640x64	1	None	Realtek PCIe FE Family Controller is disconnected from network.
Information	05-08-2019 22:46:08	Microsoft-Windows-Kernel-General	1	(5)	"The system time has changed to ‎2019‎-‎08‎-‎05T17:16:08.500000000Z from ‎2019‎-‎08‎-‎04T07:37:00.263105300Z.

Change Reason: System time synchronized with the hardware clock."
Information	04-08-2019 13:07:00	Microsoft-Windows-Kernel-Power	107	(102)	The system has resumed from sleep.
Information	04-08-2019 13:06:53	Microsoft-Windows-Kernel-Power	42	(64)	"The system is entering sleep.

Sleep Reason: Application API"
Information	04-08-2019 13:06:49	Microsoft-Windows-Winlogon	7002	(1102)	User Logoff Notification for Customer Experience Improvement Program
Error	04-08-2019 13:06:42	Microsoft-Windows-DistributedCOM	10010	None	The server {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54} did not register with DCOM within the required timeout.
Information	04-08-2019 13:05:01	Microsoft-Windows-Ntfs	98	None	Volume E: (\Device\HarddiskVolume6) is healthy.  No action is needed.
Error	04-08-2019 13:04:58	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error	04-08-2019 13:04:58	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error	04-08-2019 13:04:57	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 and APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information	04-08-2019 13:04:53	Microsoft-Windows-Ntfs	98	None	Volume D: (\Device\HarddiskVolume5) is healthy.  No action is needed.
Information	04-08-2019 13:04:52	Microsoft-Windows-Winlogon	7001	(1101)	User Logon Notification for Customer Experience Improvement Program
Information	04-08-2019 13:04:48	Microsoft-Windows-Power-Troubleshooter	1	None	"The system has returned from a low power state.

Sleep Time: ‎2019‎-‎08‎-‎04T07:34:04.655728800Z
Wake Time: ‎2019‎-‎08‎-‎04T07:34:45.744565300Z

Wake Source: Unknown"
Error	04-08-2019 13:04:46	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Information	04-08-2019 13:04:46	BTHUSB	18	None	Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Warning	04-08-2019 13:04:46	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Warning	04-08-2019 13:04:46	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Information	04-08-2019 13:04:45	Microsoft-Windows-Kernel-Boot	27	(33)	The boot type was 0x1.
Information	04-08-2019 13:04:45	Microsoft-Windows-Kernel-Boot	25	(32)	The boot menu policy was 0x1.
Information	04-08-2019 13:04:45	Microsoft-Windows-Kernel-Boot	32	(58)	The bootmgr spent 0 ms waiting for user input.
Information	04-08-2019 13:04:45	Microsoft-Windows-Kernel-Boot	18	(57)	There are 0x1 boot options on this system.
Information	04-08-2019 13:04:45	Microsoft-Windows-Kernel-Boot	30	(21)	The firmware reported boot metrics.
Warning	04-08-2019 13:04:45	rt640x64	1	None	Realtek PCIe FE Family Controller is disconnected from network.
Information	04-08-2019 13:04:44	Microsoft-Windows-Kernel-General	1	(5)	"The system time has changed to ‎2019‎-‎08‎-‎04T07:34:44.500000000Z from ‎2019‎-‎08‎-‎04T07:34:19.527570200Z.

Change Reason: System time synchronized with the hardware clock."
Information	04-08-2019 13:04:19	Microsoft-Windows-Kernel-Power	107	(102)	The system has resumed from sleep.
Information	04-08-2019 13:04:14	Microsoft-Windows-Kernel-Power	42	(64)	"The system is entering sleep.

Sleep Reason: Application API"
Information	04-08-2019 13:04:03	Microsoft-Windows-Winlogon	7002	(1102)	User Logoff Notification for Customer Experience Improvement Program
Information	04-08-2019 12:55:14	Microsoft-Windows-Power-Troubleshooter	1	None	"The system has returned from a low power state.

Sleep Time: ‎2019‎-‎08‎-‎04T07:24:59.761091500Z
Wake Time: ‎2019‎-‎08‎-‎04T07:25:11.669179100Z

Wake Source: Power Button"
Error	04-08-2019 12:55:12	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Information	04-08-2019 12:55:12	BTHUSB	18	None	Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
